Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-EB-A44O-01A-11R-A266-07,0.952147660449288,0,0.0286105896325233,0,0,0.00978436412501609,0,0.00945738579317228,0,0.418407947924132,0.911000455642711
TCGA-EB-A44P-01A-11R-A266-07,0.934348280934309,0.000151224319625135,0.0461430607677611,0.0029445081255827,0,0.0118957701030273,0,0.00451715574969466,0,0.548689289944259,0.858491308269074
TCGA-EB-A44Q-06A-11R-A266-07,0.618323436367409,0.00106810562165771,0.0181856884202409,0.0873582819872467,0,0.192730035523059,0,0.0823344520803858,0,0.70929219166008,0.726048052285519
TCGA-EB-A44R-06A-41R-A266-07,0.784382693798635,0,0.0649236493103718,0.0446599702684863,0,0.0908824563156738,0,0.0151512303068326,0,0.332126837418556,0.944413471958272
TCGA-EB-A4IQ-01A-12R-A266-07,0.876557334007887,0.00493421703909026,0.0698101546499991,0.00207254132251529,0,0.0114743837928754,0,0.0351513691876329,0,0.324836330163429,0.946638336934372
TCGA-EB-A4IS-01A-21R-A266-07,0.532789114779659,0.00225711507558302,0.187305243748473,0.0252767082250319,0,0.0845323970521387,0,0.167839421119114,0,0.594832152790734,0.821003651297024
TCGA-EB-A4OY-01A-11R-A266-07,0.833827610429282,0.00049694284046689,0.0211805256929375,0.0237553066243483,0,0.0573441734119258,0,0.0633954410010397,0,0.289791588044102,0.960522454305087
TCGA-EB-A4OZ-01A-12R-A266-07,0.539569315923028,0.0288748979283377,0.139909050255465,0.0809354525082326,0,0.152675116535269,0,0.0580361668496671,0,0.680312171327536,0.76686675822141
TCGA-EB-A4P0-01A-41R-A266-07,0.867112079851732,0.00214875063778851,0.0781029817165435,0.00263115216312895,0,0.0241241305878479,0,0.0258809050429595,0,0.56788752150075,0.852566790063402
TCGA-EB-A4XL-01A-11R-A27Q-07,0.86842212091417,0.00395498819198569,0.0752208205683506,0.000837374910256991,0,0.0416253192509374,0,0.0099393761642998,0,0.671368778093319,0.806844377204894
TCGA-EB-A51B-01A-11R-A27Q-07,0.938663268813867,0.000185423453604565,0.0404610291899808,0.00396772120620241,0,0.0118037637615984,0,0.00491879357474709,0,0.299936652684674,0.956459843469483
TCGA-EB-A550-01A-61R-A27Q-07,0.774464038068165,0.00140383108651269,0.143119146280844,0.00801865329308913,0,0.0572795476123351,0,0.0157147836590541,0,0.326272707781768,0.94598992915375
TCGA-EB-A551-01A-21R-A27Q-07,0.648710732047109,0,0.0903504378880597,0.0523589149120056,0,0.147764000471037,0,0.0608159146817889,0,0.41520701091862,0.910569798291929
TCGA-EB-A553-01A-12R-A27Q-07,0.698447666584916,0.00190691418065019,0.154066278203609,0.0283924053459177,0,0.0560156313647687,0,0.0611711043201388,0,0.383443703321809,0.924230504875358
TCGA-EB-A57M-01A-51R-A311-07,0.612878412961284,0.0222092499525219,0.306780925806773,0.00120553111095458,0,0.0353704907226499,0,0.021555389445817,0,0.437787646624025,0.901504372221937
TCGA-EB-A5FP-01A-11R-A27Q-07,0.978871559304332,0.000476447129906177,0.0186939568965873,0,0,0.00146663554102796,0.000400756426831058,9.06447013154615e-05,0,0.560886658238289,0.851498522754975
TCGA-EB-A5KH-06A-11R-A27Q-07,0.907899479781085,0.00692020694466882,0.0612080199325499,0,0,0.00756567704568121,0,0.0164066162960155,0,0.422783781223681,0.909764726104737
TCGA-EB-A5SE-01A-11R-A311-07,0.970710621004007,0,0.0187024466378861,0,0,0.00672767228858448,0,0.0038592600695223,0,0.471734642412572,0.889248115838053
TCGA-EB-A5SF-01A-11R-A311-07,0.811478351999011,0.0145999884678218,0.138054829496001,0,0,0.0252922597660124,0,0.0105745702711532,0,0.230120075749824,0.980405830441746
