Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-EE-A2GR-06A-11R-A18S-07,0.00954922654990711,0.0453088622109255,0.0511466683401213,0,0,0.123652932204194,0,0.109865356175587,0.0632350021861044,0,0.219796786250336,0,0.0568078758565368,0.263444896171711,0,0.0362859582644362,0,0,0,0,0.0142373677543257,0.0066690680358145,0,-0.00478091327518091,1.11095101384401
TCGA-EE-A2GS-06A-12R-A18S-07,0,0.0882499670970106,0,0,0,0.025611763188949,0,0.0987458805830762,0.0228783403365752,0.0368833542284096,0.0196425860685564,0,0,0.450615296782097,0.128376437566147,0.0717810728113088,0.00483031856494089,0,0.0523849827729291,0,0,0,0,0.282384441432957,0.999594666799913
TCGA-EE-A2GT-06A-12R-A18S-07,0.185503010656181,0.00863911995928227,0.00419802087636617,0.0898536811539282,0.0879152131604089,0.0659936392623405,0,0.0938327562986498,0.0770265144748732,0,0.0532011070249559,0,0.00354732933412635,0.12513178404229,0.0204001436743452,0.184757680082252,0,0,0,0,0,0,0,0.213988171228817,1.0047355913512
TCGA-EE-A2GU-06A-11R-A18T-07,0.0111552464648911,0,0.00773509427316023,0.185652305814843,0,0.0663257375686613,0.0423670880698413,0.131399826417439,0.019815182374468,0,0.149515993630409,0,0.0478136032597851,0.105850402007449,0.0862612424351588,0.0906776354989532,0.00817503464716016,0,0.0437883963195485,0,0.00346721121823134,0,0,0.133836906900295,1.04744301403802
TCGA-EE-A2M5-06A-12R-A18S-07,0.00124991029970583,0,0.00599284180429675,0.24163556612612,0,0.0708152839523064,0.0673216258862453,0.0249541615359602,0.0627005739841512,0,0.0748706259632638,0,0,0.11478003390446,0.0906871029171863,0.137082807328318,0,0,0,0.0263873771316157,0,0.0815220891663708,0,0.211644235683745,1.01197861975918
TCGA-EE-A2M6-06A-12R-A18S-07,0.00148172875057986,0.00688013070018702,0.00699821456481764,0,0,0.11726450780066,0,0.0531090742482131,0.0437532500005895,0,0.0591910870399564,0,0.0429630895623304,0.528816622232127,0.00867823947486413,0.0388548695193945,0.0473537432014987,0,0.0446554429047818,0,0,0,0,0.262919895005661,1.02033068337521
TCGA-EE-A2M7-06A-11R-A18U-07,0.136659931368426,0.195146595007073,0,0.139898592813437,0.0131658648428581,0.0609731134496596,0,0.0860460856061085,0.0556637667399337,0,0.0501592177748729,0,0.0257093675987398,0.0593305452511413,0.026025473223275,0.142226262295008,0,0.00899518402946722,0,0,0,0,0,0.0791670740729308,1.06417155144293
TCGA-EE-A2M8-06A-12R-A18S-07,0.0087032561221444,0.0101504279420591,0,0.422152162460154,0,0,0,0.12030799673324,0.147031800853202,0,0.0219598809930363,0,0.0226487868046244,0,0.0820585967823549,0.162742749472871,0,0,0.0022443418363131,0,0,0,0,0.310932731145365,0.978465878366572
TCGA-EE-A2MC-06A-12R-A18S-07,0.0809854028373941,0,0.0128050708983726,0.186960055402639,0,0.0752342617387447,0.00477649824577888,0.0646842305908651,0.024047194005782,0,0,0.0426231218639326,0,0.166000689803593,0.0864528194991737,0.246275952374447,0,0,0,0.00161188988052551,0,0.00754281285875214,0,0.349527333962109,0.943747153684849
TCGA-EE-A2MD-06A-11R-A18T-07,0.121558439138276,0,0.0738531675166752,0.0646186164517441,0,0,0,0.247898011172097,0,0,0.0181976702951928,0,0,0.271105310754743,0.0644933567093184,0.115305326758889,0,0,0.0229701012030642,0,0,0,0,0.126636888033405,1.04256295688046
